学校名,年度,回数,通し問題番号,大問番号,中問,小問番号,大分類,メイン単元,難易度,配点,問題形式
s_name,year,time,s_q_num,part,m_q_no,s_q_no,Category,main_unit,difficulty,allocation,problem_format
開成,2022,1,1,1,1,1,A,A1,2,4,1
開成,2022,1,2,1,2,1,B,B1,3,4,1
開成,2022,1,3,1,3,1,J,J1,3,4,1
開成,2022,1,4,1,4,1,F,F2,3,4,1
開成,2022,1,5,1,4,2,F,F1,3,4,1
開成,2022,1,6,2,1,1,G,G2,3,4,1
開成,2022,1,7,2,1,2,G,G2,3,4,1
開成,2022,1,8,2,2,1,G,G2,2,4,1
開成,2022,1,9,2,2,2,G,G2,3,4,1
開成,2022,1,10,3,1,1,J,J1,2,4,1
開成,2022,1,11,3,2,1,K,K1,2,4,3
開成,2022,1,12,3,2,2,K,K1,3,4,1
開成,2022,1,13,3,2,3,K,K1,2,4,1
開成,2022,1,14,3,3,1,K,K1,3,5,3
開成,2022,1,15,3,3,2,K,K1,3,5,1
開成,2022,1,16,3,3,3,K,K1,4,5,1
開成,2022,1,17,4,1,1,E,E5,2,6,1
開成,2022,1,18,4,2,1,E,E5,3,6,1
開成,2022,1,19,4,3,1,E,E5,4,6,1
開成,2021,1,1,1,1,1,,,,7,
開成,2021,1,2,1,2,1,,,,7,
開成,2021,1,3,1,3,1,,,,7,
開成,2021,1,4,1,4,1,,,,7,
開成,2021,1,5,2,1,1,,,,5,
開成,2021,1,6,2,2,1,,,,8,
開成,2021,1,7,2,3,1,,,,8,
開成,2021,1,8,3,1,1,,,,6,
開成,2021,1,9,3,2,1,,,,6,
開成,2021,1,10,3,3,1,,,,8,
開成,2021,1,11,3,4,1,,,,8,
開成,2021,1,12,3,5,1,,,,8,
開成,2020,1,1,1,1,1,,,,15,
開成,2020,1,2,2,1,1,,,,7,
開成,2020,1,3,2,2,1,,,,7,
開成,2020,1,4,2,3,1,,,,7,
開成,2020,1,5,3,1,1,,,,5,
開成,2020,1,6,3,1,2,,,,5,
開成,2020,1,7,3,2,1,,,,24,
開成,2020,1,8,4,1,1,,,,15,
開成,2019,1,1,1,1,1,,,,6,
開成,2019,1,2,1,2,1,,,,6,
開成,2019,1,3,1,3,1,,,,6,
開成,2019,1,4,2,1,1,,,,7,
開成,2019,1,5,2,2,1,,,,7,
開成,2019,1,6,2,3,1,,,,7,
開成,2019,1,7,3,1,1,,,,5,
開成,2019,1,8,3,1,2,,,,5,
開成,2019,1,9,3,2,1,,,,5,
開成,2019,1,10,3,2,2,,,,5,
開成,2019,1,11,4,1,1,,,,7,
開成,2019,1,12,4,2,1,,,,6,
開成,2019,1,13,4,2,2,,,,6,
開成,2019,1,14,4,2,3,,,,7,
開成,2018,1,1,1,1,1,,,,6,
開成,2018,1,2,1,2,1,,,,6,
開成,2018,1,3,1,3,1,,,,6,
開成,2018,1,4,1,4,1,,,,6,
開成,2018,1,5,1,5,1,,,,6,
開成,2018,1,6,1,6,2,,,,6,
開成,2018,1,7,1,7,1,,,,7,
開成,2018,1,8,1,7,2,,,,7,
開成,2018,1,9,2,1,1,,,,7,
開成,2018,1,10,2,2,1,,,,7,
開成,2018,1,11,3,1,1,,,,7,
開成,2018,1,12,3,2,1,,,,7,
開成,2018,1,13,3,3,1,,,,7,
洗足学園,2022,1,1,1,1,1,A,A1,1,5,1
洗足学園,2022,1,2,1,2,1,A,A1,2,5,1
洗足学園,2022,1,3,2,1,1,E,E1,1,5,1
洗足学園,2022,1,4,2,2,1,D,D1,2,5,1
洗足学園,2022,1,5,2,3,1,B,B1,2,5,1
洗足学園,2022,1,6,2,4,1,E,E6,3,5,1
洗足学園,2022,1,7,3,1,1,L,L1,2,7,1
洗足学園,2022,1,8,3,2,1,F,F2,3,7,1
洗足学園,2022,1,9,3,3,1,D,D7,3,8,2
洗足学園,2022,1,10,3,4,1,D,D6,3,8,2
洗足学園,2022,1,11,4,1,1,J,J1,2,5,1
洗足学園,2022,1,12,4,2,1,J,J1,2,8,2
洗足学園,2022,1,13,4,3,1,J,J1,3,7,1
洗足学園,2022,1,14,5,1,1,E,E4,2,7,1
洗足学園,2022,1,15,5,2,1,E,E4,3,8,2
洗足学園,2022,1,16,5,3,1,E,E4,3,5,1
洗足学園,2022,2,1,1,1,1,A,A1,1,5,1
洗足学園,2022,2,2,1,2,1,A,A1,2,5,1
洗足学園,2022,2,3,2,1,1,E,E1,2,5,1
洗足学園,2022,2,4,2,2,1,D,D1,2,5,1
洗足学園,2022,2,5,2,3,1,H,H4,2,5,1
洗足学園,2022,2,6,2,4,1,G,G3,2,5,1
洗足学園,2022,2,7,3,1,1,L,L1,2,7,1
洗足学園,2022,2,8,3,2,1,F,F2,3,7,1
洗足学園,2022,2,9,3,3,1,B,B1,3,8,2
洗足学園,2022,2,10,3,4,1,E,E3,2,8,2
洗足学園,2022,2,11,4,1,1,E,E6,2,7,1
洗足学園,2022,2,12,4,2,1,E,E6,3,5,1
洗足学園,2022,2,13,4,3,1,E,E6,3,8,2
洗足学園,2022,2,14,5,1,1,C,C5,2,5,1
洗足学園,2022,2,15,5,2,1,C,C5,3,8,1
洗足学園,2022,2,16,5,3,1,C,C5,3,7,2
洗足学園,2022,3,1,1,1,1,,,,5,1
洗足学園,2022,3,2,1,2,1,,,,5,1
洗足学園,2022,3,3,2,1,1,,,,5,1
洗足学園,2022,3,4,2,2,1,,,,5,1
